mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,131309,186.0,,198.0,,369.0
2,106378,186.0,,197.5,,366.9
3,29533,180.0,,201.0,,365.8
4,973,195.0,,190.0,,365.5
5,140329,182.0,,193.5,,348.4
6,38651,183.0,,186.5,,345.9
7,75837,171.0,,193.0,,340.9
8,106377,181.0,,187.0,,340.5
9,73228,171.0,,189.0,,335.5
10,118113,181.0,,181.5,,331.9
11,35788,172.0,,187.5,,331.8
12,72563,170.5,,188.0,,330.3
13,142646,181.5,,179.5,,329.8
14,12274,176.0,,184.5,,329.6
15,147547,174.0,,179.5,,324.5
16,117835,168.0,,181.5,,322.7
17,27594,183.5,,170.0,,322.1
18,32297,173.5,,176.5,,319.2
19,174244,166.5,,181.0,,317.8
20,157213,169.5,,176.0,,315.8
21,128286,169.5,,177.0,,314.8
22,75148,175.0,,174.5,,314.6
23,43223,174.5,,175.5,,314.1
24,73232,171.5,,178.5,,313.7
25,138409,170.5,,176.5,,313.5
26,124118,170.0,,177.0,,310.1
27,120379,177.0,,162.0,,300.9
28,31329,176.0,,162.0,,300.7
29,25074,170.0,,163.0,,297.9
30,123925,172.5,,160.0,,287.9
31,72592,170.5,,,,146.6
32,102371,172.0,,,,144.5
33,111251,169.5,,,,144.4
34,113115,167.5,,,,142.9
35,136813,162.0,,,,139.0
36,78803,158.0,,,,137.0
37,108867,159.0,,,,131.5
38,120495,157.5,,,,128.5
39,128806,157.5,,,,127.6
40,106257,154.0,,,,122.5
