kategorija,datum,uvrstitev,drzava,mesto,disciplina,id
World Cup,26-03-2017,4,SLO,Planica,HS225,4745
World Cup,25-03-2017,2,SLO,Planica,Team HS225,4744
World Cup,24-03-2017,3,SLO,Planica,HS225,4743
Qualification,23-03-2017,3,SLO,Planica,HS225,4742
World Cup,19-03-2017,38,NOR,Vikersund,HS225,4741
World Cup,18-03-2017,5,NOR,Vikersund,Team HS225,4740
Qualification,17-03-2017,5,NOR,Vikersund,HS225,4739
World Cup,16-03-2017,4,NOR,Trondheim,HS138,4738
Qualification,15-03-2017,8,NOR,Trondheim,HS138,4737
Qualification,13-03-2017,1,NOR,Lillehammer,HS138,4735
World Cup,12-03-2017,3,NOR,Oslo,HS134,4734
World Cup,11-03-2017,2,NOR,Oslo,Team HS134,4733
Qualification,10-03-2017,4,NOR,Oslo,HS134,4732
World Ski Championships,04-03-2017,4,FIN,Lahti,Team HS130,4758
World Ski Championships,02-03-2017,13,FIN,Lahti,HS130,4757
World Ski Championships,26-02-2017,1,FIN,Lahti,Team HS100,4755
World Ski Championships,25-02-2017,3,FIN,Lahti,HS100,4754
World Cup,12-02-2017,9,JPN,Sapporo,HS134,4728
World Cup,11-02-2017,6,JPN,Sapporo,HS134,4727
World Cup,05-02-2017,22,GER,Oberstdorf,HS225,4725
World Cup,04-02-2017,8,GER,Oberstdorf,HS225,4724
World Cup,29-01-2017,18,GER,Willingen,HS145,4722
World Cup,28-01-2017,3,GER,Willingen,Team HS145,4721
World Cup,22-01-2017,4,POL,Zakopane,HS134,4719
World Cup,21-01-2017,1,POL,Zakopane,Team HS134,4718
World Cup,15-01-2017,22,POL,Wisla,HS134,4716
World Cup,14-01-2017,11,POL,Wisla,HS134,4715
World Cup,06-01-2017,13,AUT,Bischofshofen,HS140,4713
World Cup,04-01-2017,29,AUT,Innsbruck,HS130,4711
Qualification,03-01-2017,6,AUT,Innsbruck,HS130,4710
World Cup,01-01-2017,4,GER,Garmisch-Partenkirchen,HS140,4709
Qualification,31-12-2016,1,GER,Garmisch-Partenkirchen,HS140,4708
World Cup,30-12-2016,6,GER,Oberstdorf,HS137,4707
Qualification,29-12-2016,6,GER,Oberstdorf,HS137,4706
World Cup,18-12-2016,5,SUI,Engelberg,HS140,4705
World Cup,17-12-2016,7,SUI,Engelberg,HS140,4704
World Cup,11-12-2016,3,NOR,Lillehammer,HS138,4702
World Cup,10-12-2016,7,NOR,Lillehammer,HS138,4701
World Cup,04-12-2016,6,GER,Klingenthal,HS140,4699
World Cup,03-12-2016,2,GER,Klingenthal,Team HS140,4698
Qualification,02-12-2016,6,GER,Klingenthal,HS140,4697
World Cup,26-11-2016,15,FIN,Ruka,HS142,4696
World Cup,25-11-2016,7,FIN,Ruka,HS142,4695
Qualification,24-11-2016,7,FIN,Ruka,HS142,4694
Grand Prix,02-10-2016,5,GER,Klingenthal,HS140,4606
Continental Cup,30-09-2016,1,GER,Klingenthal,HS140,4625
Continental Cup,25-09-2016,1,POL,Wisla,HS134,4670
Continental Cup,24-09-2016,7,POL,Wisla,HS134,4669
Continental Cup,18-09-2016,1,AUT,Stams,HS115,4654
Continental Cup,17-09-2016,1,AUT,Stams,HS115,4653
Continental Cup,11-09-2016,1,NOR,Lillehammer,HS138,4660
Continental Cup,10-09-2016,6,NOR,Lillehammer,HS138,4658
Grand Prix,30-07-2016,13,GER,Hinterzarten,HS108,4588
Qualification,29-07-2016,5,GER,Hinterzarten,HS108,4587
Continental Cup,02-07-2016,12,SLO,Kranj,HS109,4612
Continental Cup,01-07-2016,13,SLO,Kranj,HS109,4611
World Cup,19-03-2016,5,SLO,Planica,Team HS225,4460
